session_tag,u_pinch_mean,u_pinch_sd,u_pinch_n,u_grasp_mean,u_grasp_sd,u_grasp_n,x_pinch_mean,x_pinch_sd,x_pinch_n,x_grasp_mean,x_grasp_sd,x_grasp_n
balldrop_2_4,0.37514962962962967,0.21868789689843787,135,0.19151925925925925,0.10214568283503354,135,4.104641481481482,2.8009475365925827,135,0.5705725925925926,0.5629690731981257,135
fishhunt_2_4,0.5225333333333335,0.166532802951474,78,0.2843115384615384,0.10264108058461008,78,2.5137166666666677,2.6436606477322253,78,0.7737589743589741,1.1102061209623695,78
stack_2_4,0.37083661971830983,0.16245080410963975,142,0.40242887323943666,0.07897951038802883,142,3.9655746478873235,2.385318168778133,142,3.654875352112675,0.9526281642473368,142
ALL_SESSIONS_POOLED,0.405807323943662,0.19620871468979054,355,0.29627126760563377,0.13214468537433666,355,3.699459436619718,2.6752472991743765,355,1.8489374647887324,1.7133919816390433,355
